open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1656633600000,19923.30,20926.40,18948.80,19272.00,915399.363,1656719999999,17973277787.04804,6152298,457870.747,8992956700.07802,0
1656720000000,19272.00,19456.00,18959.00,19240.90,382851.525,1656806399999,7361597905.72379,2976646,193273.081,3716917943.26660,0
1656806400000,19241.00,19645.40,18780.10,19305.90,449508.331,1656892799999,8622450486.10630,3298282,228761.251,4389214837.80957,0
1656892800000,19306.00,20350.00,19046.30,20226.60,633310.187,1656979199999,12445691915.01023,4682514,329571.738,6479246965.72408,0
1656979200000,20226.30,20749.20,19291.60,20170.00,854238.867,1657065599999,17057063374.95285,6376734,433546.901,8659958016.15215,0
1657065600000,20170.10,20667.60,19753.00,20554.10,682076.458,1657151999999,13764942073.24180,5228369,350174.613,7068962780.45838,0
1657152000000,20554.20,21830.00,20244.90,21613.40,699841.616,1657238399999,14673528816.01675,5246264,365938.179,7675710992.49503,0
1657238400000,21614.50,22579.90,21175.20,21587.90,848144.495,1657324799999,18441993286.35933,6407442,430769.022,9370219065.80679,0
1657324800000,21587.80,22000.00,21309.60,21580.00,393372.366,1657411199999,8503827622.59832,3425448,197426.333,4268843706.04637,0
1657411200000,21580.00,21594.20,20600.00,20853.80,468176.539,1657497599999,9870330890.15699,3946140,225863.473,4762691068.32378,0
1657497600000,20853.80,20853.90,19870.00,19954.30,561245.987,1657583999999,11469156941.09009,4722282,277127.043,5664894593.32809,0
1657584000000,19954.30,20048.90,19228.30,19322.90,640560.723,1657670399999,12632186362.87899,5243512,318941.145,6291289463.49740,0
1657670400000,19322.90,20401.60,18901.00,20220.10,975938.165,1657756799999,19099701219.32481,6940192,502395.361,9836048774.08444,0
1657756800000,20220.10,20900.00,19600.00,20578.60,765989.530,1657843199999,15457229421.45097,6321440,394919.459,7972657572.17557,0
1657843200000,20578.60,21200.00,20364.30,20823.10,626763.692,1657929599999,13043523984.48886,5299398,321760.576,6698195613.75099,0
1657929600000,20823.10,21580.00,20471.00,21183.50,539206.870,1658015999999,11321826058.55016,4376025,274309.123,5762096976.22678,0
1658016000000,21183.60,21674.10,20742.00,20794.40,485537.728,1658102399999,10308826275.78109,4320211,241994.482,5139611016.91506,0
1658102400000,20794.40,22800.00,20764.40,22423.90,982867.734,1658188799999,21581852762.64478,7506531,502237.731,11029703030.23339,0
1658188800000,22423.50,23817.90,21575.00,23385.90,1124029.082,1658275199999,25470793400.12995,8573585,573618.441,13010727087.58880,0
1658275200000,23385.90,24277.00,22912.40,23221.50,946647.815,1658361599999,22329424219.08293,7875414,478526.288,11292381194.49016,0
1658361600000,23221.50,23441.10,22340.20,23144.50,723543.466,1658447999999,16553246183.50506,6390688,361069.429,8262213487.24296,0
1658448000000,23144.50,23750.00,22500.00,22675.10,633907.934,1658534399999,14697003018.10593,5619564,314534.426,7295453013.56864,0
1658534400000,22675.00,22990.00,21933.50,22440.20,505887.673,1658620799999,11353416591.58139,4466638,251796.476,5652210925.56101,0
1658620800000,22440.10,22999.00,22256.40,22570.60,462958.953,1658707199999,10486872827.38728,4140624,235244.650,5329663607.14576,0
1658707200000,22570.60,22656.80,21232.00,21300.00,695770.655,1658793599999,15241930778.39496,5988694,339528.753,7440826220.76552,0
1658793600000,21300.00,21334.40,20689.60,21241.00,552498.903,1658879999999,11607460262.67674,4637727,278338.701,5848844122.42733,0
1658880000000,21241.00,23100.00,21031.00,22941.10,753370.303,1658966399999,16528529868.30713,5568859,392984.212,8626304357.91047,0
1658966400000,22941.10,24194.60,22583.10,23836.20,756741.836,1659052799999,17665500374.48079,6067958,389997.993,9105030295.73183,0
1659052800000,23836.20,24500.00,23426.30,23771.10,642337.051,1659139199999,15337312726.27532,5285059,321717.107,7683498505.70307,0
1659139200000,23771.00,24700.00,23505.00,23629.90,493824.816,1659225599999,11889274245.47064,4311161,248529.150,5985486981.64209,0
1659225600000,23630.00,24187.30,23222.00,23290.10,385969.850,1659311999999,9142633001.95407,3727790,191060.344,4526888395.89684,0
